SourceName,Start,End,Duration
smcx1,2022/011-00:03:26.54,2022/011-11:00:00.00,0
Cas A,2022/011-11:45:43.56,2022/029-12:08:30.00,997675
Cen X-3,2022/029-13:10:57.60,2022/031-06:45:38.00,99523
4U 0142+61,2022/031-07:36:01.81,2022/045-23:48:23.00,839063
Cen A,2022/046-00:38:17.90,2022/048-13:33:58.00,99848
Her X-1,2022/048-14:11:34.88,2022/052-15:50:48.00,198870
Crab,2022/052-16:34:23.19,2022/053-18:23:44.00,50805
Her X-1,2022/053-19:07:11.03,2022/055-19:24:08.00,98231
4U_0142_61,2022/055-19:47:51.43,2022/058-18:51:33.00,168444
Sgr_A_complex,2022/058-19:37:01.07,2022/065-23:47:38.00,340163
Crab,2022/066-00:38:41.96,2022/067-02:17:56.00,50259
Mrk 501,2022/067-02:59:50.33,2022/069-08:07:45.00,107424
Sgr_A_complex,2022/069-08:30:30.39,2022/083-01:42:26.00,657932
4U_1626-67,2022/083-01:59:48.72,2022/086-05:19:03.00,198492
Mrk_501,2022/086-05:59:42.51,2022/088-07:03:11.00,99025
GS_1826-238,2022/088-07:25:43.73,2022/090-08:57:57.00,97915
S5_0716_714,2022/090-09:42:14.11,2022/095-19:29:09.00,363972
Vela_Pulsar,2022/095-20:11:52.13,2022/105-18:02:19.00,499526
Vela_X-1,2022/105-18:11:58.23,2022/111-12:17:14.00,285062
Vela_Pulsar,2022/111-12:24:49.66,2022/120-10:02:36.00,449400
Cyg_X-2,2022/120-11:04:48.57,2022/122-11:07:25.00,99166
Cyg_X-2_1,2022/122-11:11:02.93,2022/123-11:13:57.00,49241
1ES_1959_650 ,2022/123-11:29:18.18,2022/124-09:49:00.00,53581
Mrk_421 ,2022/124-10:11:55.30,2022/126-10:50:29.00,98325
BL Lac,2022/126-11:30:05.82,2022/134-12:27:00.00,399935
MCG-5-23-16,2022/134-13:17:59.49,2022/135-14:55:55.00,51679
Cyg_X-1,2022/135-15:45:52.01,2022/141-17:52:22.00,298365
MCG-5-23-16 ,2022/141-18:42:18.68,2022/151-03:47:09.00,448925
3C_454_3,2022/151-04:36:12.31,2022/153-08:04:38.0,99503
3C_273,2022/153-08:53:13.61,2022/155-10:48:11.00,97992
Mrk_421,2022/155-11:05:42.90,2022/157-10:57:07.00,99782
1ES_1959_650,2022/157-11:20:12.33,2022/158-08:38:30.00,52764
Mrk_421_1,2022/158-09:01:28.01,2022/160-09:39:47.00,98432
1ES_1959_650_1,2022/160-10:02:50.43,2022/163-20:25:46.00,209789
3C_279,2022/163-21:05:56.06,2022/169-20:21:14.00,279375
Cyg_X-1,2022/169-21:03:01.84,2022/171-21:03:46.00,97376
